,(,),[,],{,},+,-,*,/,!,;,<,>,<=,>=,==,!=,||,&&,=,id,num,real,float,int,if,else,while,do,break,continue,FALSE,TRUE,＄,program,block,decls,decl,type,basic,stmts,stmt,loc,bool,join,equality,rel,expr,term,unary,factor,opa,opb,opc
32,Shift 48,,,,,,,Shift 49,,,Shift 50,,,,,,,,,,,Shift 51,Shift 52,Shift 53,,,,,,,,,Shift 54,Shift 55,,,,,,,,,,Shift 42,,,,,Shift 43,Shift 44,Shift 45,Shift 46,,,Shift 47
33,,,,,,,,,,,,,,,,,,,,,,,Shift 56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Shift 48,,,,,,,Shift 49,,,Shift 50,,,,,,,,,,,Shift 51,Shift 52,Shift 53,,,,,,,,,Shift 54,Shift 55,,,,,,,,,,Shift 42,,,,,Shift 57,Shift 44,Shift 45,Shift 46,,,Shift 47
35,Shift 48,,,,,,,Shift 49,,,Shift 50,,,,,,,,,,,Shift 51,Shift 52,Shift 53,,,,,,,,,Shift 54,Shift 55,,,,,,,,,,Shift 42,Shift 58,Shift 59,Shift 60,,Shift 61,Shift 44,Shift 45,Shift 46,,,Shift 47
36,Shift 48,,,,,,,Shift 49,,,Shift 50,,,,,,,,,,,Shift 51,Shift 52,Shift 53,,,,,,,,,Shift 54,Shift 55,,,,,,,,,,Shift 42,Shift 62,Shift 59,Shift 60,,Shift 61,Shift 44,Shift 45,Shift 46,,,Shift 47
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shift 63,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,stmt→break;,stmt→break;,,,,,,,,,,,,,,,,stmt→break;,,,,,stmt→break;,stmt→break;,stmt→break;,stmt→break;,stmt→break;,stmt→break;,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,stmt→continue;,stmt→continue;,,,,,,,,,,,,,,,,stmt→continue;,,,,,stmt→continue;,stmt→continue;,stmt→continue;,stmt→continue;,stmt→continue;,stmt→continue;,,,,,,,,,,,,,,,,,,,,,,,
40,,,type→type[num],,,,,,,,,,,,,,,,,,,type→type[num],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,Shift 64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,factor→loc,Shift 31,,,,factor→loc,factor→loc,factor→loc,factor→loc,,factor→loc,factor→loc,factor→loc,factor→loc,factor→loc,factor→loc,factor→loc,factor→loc,factor→loc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,Shift 66,Shift 67,,,,Shift 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shift 65,,
44,,expr→term,,,,,expr→term,expr→term,Shift 70,Shift 71,,expr→term,expr→term,expr→term,expr→term,expr→term,expr→term,expr→term,expr→term,expr→term,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shift 69,
45,,term→unary,,,,,term→unary,term→unary,term→unary,term→unary,,term→unary,term→unary,term→unary,term→unary,term→unary,term→unary,term→unary,term→unary,term→unary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,unary→factor,,,,,unary→factor,unary→factor,unary→factor,unary→factor,,unary→factor,unary→factor,unary→factor,unary→factor,unary→factor,unary→factor,unary→factor,unary→factor,unary→factor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Shift 48,,,,,,,Shift 49,,,Shift 50,,,,,,,,,,,Shift 51,Shift 52,Shift 53,,,,,,,,,Shift 54,Shift 55,,,,,,,,,,Shift 42,,,,,,,Shift 72,Shift 46,,,Shift 47
48,Shift 48,,,,,,,Shift 49,,,Shift 50,,,,,,,,,,,Shift 51,Shift 52,Shift 53,,,,,,,,,Shift 54,Shift 55,,,,,,,,,,Shift 42,,,,,Shift 73,Shift 44,Shift 45,Shift 46,,,Shift 47
49,opc→-,,,,,,,opc→-,,,opc→-,,,,,,,,,,,opc→-,opc→-,opc→-,,,,,,,,,opc→-,opc→-,,,,,,,,,,,,,,,,,,,,,
50,opc→!,,,,,,,opc→!,,,opc→!,,,,,,,,,,,opc→!,opc→!,opc→!,,,,,,,,,opc→!,opc→!,,,,,,,,,,,,,,,,,,,,,
51,,factor→id,Shift 33,,,,factor→id,factor→id,factor→id,factor→id,,factor→id,factor→id,factor→id,factor→id,factor→id,factor→id,factor→id,factor→id,factor→id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,factor→num,,,,,factor→num,factor→num,factor→num,factor→num,,factor→num,factor→num,factor→num,factor→num,factor→num,factor→num,factor→num,factor→num,factor→num,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
